ZINC_ID,standard_smiles
ZINC_284,CCCOc1ccc(-c2ccc(-c3nnco3)cc2)cc1
ZINC_285,CCCOc1ccc(-c2cccc3[nH]c(C)nc23)cc1
ZINC_286,CCCOc1ccc(-c2ccccc2Cn2ccnc2)cc1
ZINC_287,CCCOc1ccc(-c2cccc(F)c2C(=O)OC)cc1
ZINC_288,CCCOc1ccc(-c2cnc3sc(C)nc3c2)cc1
ZINC_289,CCCOc1ccc(-c2ccc3nsnc3c2)cc1
ZINC_290,CCCOc1ccc(-c2ccc3ccc(=O)oc3c2)cc1
ZINC_291,CCCOc1ccc(-c2ccc(COC)cc2F)cc1
ZINC_292,CCCOc1ccc(-c2ccc(S(C)(=N)=O)cc2)cc1
ZINC_293,CCCOc1ccc(-c2ccc(S(C)(=N)=O)cc2)cc1
ZINC_294,CCCOc1ccc(-c2ccc3cc(N)cnc3c2)cc1
ZINC_295,CCCOc1ccc(-c2ccc3ccnnc3c2)cc1
ZINC_296,[H]/N=C(/OC)c1cccc(-c2ccc(OCCC)cc2)c1
ZINC_297,[H]/N=C(\OC)c1cccc(-c2ccc(OCCC)cc2)c1
ZINC_298,CCCOc1ccc(-c2cccn(C3CCC3)c2=O)cc1
ZINC_299,CCCOc1ccc(-c2ccc(C3OCCO3)cc2)cc1
ZINC_300,CCCOc1ccc(-c2cnc3ccn(C)c3c2)cc1
ZINC_301,CCCOc1ccc(-c2cccc3ccc(N)nc23)cc1
ZINC_302,COCCOc1ccc(-c2ccnc3ccc(F)cc23)cc1
ZINC_303,CCCOc1ccc(-c2ccc3ocnc3c2)cc1
ZINC_304,COCCOc1ccc(-c2ccnc3cc(F)ccc23)cc1
ZINC_305,CCCOc1ccc(-c2cc(COC)ccc2F)cc1
ZINC_306,CCCOc1ccc(-c2ccc(N3CCCC3=O)cc2)cc1
ZINC_307,CCCOc1ccc(-c2cccc3ocnc23)cc1
ZINC_308,CCCOc1ccc(-c2ccc(OC)c(NC(C)=O)c2)cc1
ZINC_309,COCCOc1ccc(-c2c(C)ccc3cnccc23)cc1
ZINC_310,COCCOc1ccc(-c2ccccc2SC)cc1
ZINC_311,CCCOc1ccc(-c2cncc(CN(CC)CC)c2)cc1
ZINC_312,COCCOc1ccc(-c2cccc3cncc(C)c23)cc1
ZINC_313,COCCOc1ccc(-c2ccc(-c3ccno3)cc2)cc1
ZINC_314,COCCOc1ccc(-c2ccc(C)c3cccnc23)cc1
ZINC_315,COCCOc1ccc(-c2ccc3nc(C)sc3c2)cc1
ZINC_316,COCCOc1ccc(-c2cncc3ccc(C)cc23)cc1
ZINC_317,COCCOc1ccc(-c2cccc3ccoc23)cc1
ZINC_318,CCCOc1ccc(-c2cnc(C(=O)OCC)c(C)c2)cc1
ZINC_319,CCCOc1ccc(-c2ccc3c(c2)COCC3)cc1
ZINC_320,CCCOc1ccc(-c2cc(C)cn3ccnc23)cc1
ZINC_321,CCCOc1ccc(-c2cccc(C(=O)OC)c2F)cc1
ZINC_322,CCCOc1ccc(-c2cccc3c2NC(=O)CC3)cc1
ZINC_323,CCCOc1ccc(-c2ccc(C3(C)COC3)cc2)cc1
ZINC_324,CCCOc1ccc(-c2cccc3ccc(=O)oc23)cc1
ZINC_325,CCCOc1ccc(-c2ccc(NC(C)=O)c(OC)c2)cc1
ZINC_326,CCCOc1ccc(-c2ccc3nc(C)cn3c2)cc1
ZINC_327,CCCOc1ccc(-c2cccc3ncoc23)cc1
ZINC_328,CCCOc1ccc(-c2c(F)cc(OC)cc2OC)cc1
ZINC_329,CCCOc1ccc(-c2cc3cc[nH]c3nc2C)cc1
ZINC_330,CCCOc1ccc(-c2cncc3cccnc23)cc1
ZINC_331,CCCOc1ccc(-c2cnc(F)c(OC(C)C)c2)cc1
ZINC_332,CCCOc1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
ZINC_333,CCCOc1ccc(-c2cccc(NC(=O)OC)c2)cc1
ZINC_334,COCCOc1ccc(-c2ccc(-c3ccon3)cc2)cc1
ZINC_335,CCCOc1ccc(-c2ccc(=O)n(CC3CCC3)c2)cc1
ZINC_336,CCCOc1ccc(-c2ccnc3ncccc23)cc1
ZINC_337,CCCOc1ccc(-c2ccc3[nH]cnc3c2F)cc1
ZINC_338,CCCOc1ccc(-c2ccc(F)c(COC)c2)cc1
ZINC_339,COCCOc1ccc(-c2ccc(C(C)(F)F)cc2)cc1
ZINC_340,CCCOc1ccc(-c2ccc(C(=O)OCC)nc2C)cc1
ZINC_341,CCCOc1ccc(-c2cccc3c2COC3)cc1
ZINC_342,CCCOc1ccc(-c2ccccc2C2(N)CCC2)cc1
ZINC_343,COCCOc1ccc(-c2cccc3nc(C)ccc23)cc1
ZINC_344,CCCOc1ccc(-c2ccc3nnc(C4CC4)n3c2)cc1
ZINC_345,C=Cc1cccc(-c2ccc(OCCOC)cc2)c1
ZINC_346,CCCOc1ccc(-c2cnc(C(C)(C)C)nc2)cc1
ZINC_347,CCCOc1ccc(-c2ccc3c(c2)NC(=O)C3(C)C)cc1
ZINC_348,COCCOc1ccc(-c2cc(C)c(C)cc2C)cc1
